Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy,Type,Time
vit_base,5000,0,0,330,1.0,0,0,0.7042,0.9056,feature_averaging_8,112.12
vit_base,5000,0,0,0.0,1.0,0,0,0.7310,0.9258,feature_averaging_12,155.57
vit_base,5000,0,0,30,1.0,0,0,0.7016,0.9062,feature_averaging_12,157.86
vit_base,5000,0,0,60,1.0,0,0,0.7060,0.9072,feature_averaging_12,157.32
vit_base,5000,0,0,90,1.0,0,0,0.7306,0.9262,feature_averaging_12,156.59
vit_base,5000,0,0,120,1.0,0,0,0.7008,0.9042,feature_averaging_12,160.57
vit_base,5000,0,0,150,1.0,0,0,0.7028,0.9044,feature_averaging_12,158.61
vit_base,5000,0,0,180,1.0,0,0,0.7266,0.9250,feature_averaging_12,156.07
vit_base,5000,0,0,210,1.0,0,0,0.6986,0.9036,feature_averaging_12,157.67
vit_base,5000,0,0,240,1.0,0,0,0.7038,0.9042,feature_averaging_12,156.63
vit_base,5000,0,0,270,1.0,0,0,0.7300,0.9248,feature_averaging_12,156.24
vit_base,5000,0,0,300,1.0,0,0,0.7046,0.9072,feature_averaging_12,156.77
vit_base,5000,0,0,330,1.0,0,0,0.7020,0.9070,feature_averaging_12,157.56
vit_base,5000,0,0,0.0,1.0,0,0,0.6736,0.8744,canonicalizer,21.90
vit_base,5000,0,0,30,1.0,0,0,0.6586,0.8576,canonicalizer,23.83
vit_base,5000,0,0,60,1.0,0,0,0.6572,0.8482,canonicalizer,22.07
vit_base,5000,0,0,90,1.0,0,0,0.6532,0.8602,canonicalizer,22.32
vit_base,5000,0,0,120,1.0,0,0,0.6286,0.8364,canonicalizer,22.40
vit_base,5000,0,0,150,1.0,0,0,0.6264,0.8396,canonicalizer,23.61
vit_base,5000,0,0,180,1.0,0,0,0.6564,0.8606,canonicalizer,21.20
vit_base,5000,0,0,210,1.0,0,0,0.6446,0.8484,canonicalizer,23.70
vit_base,5000,0,0,240,1.0,0,0,0.6396,0.8478,canonicalizer,22.46
vit_base,5000,0,0,270,1.0,0,0,0.6498,0.8570,canonicalizer,22.35
vit_base,5000,0,0,300,1.0,0,0,0.6216,0.8368,canonicalizer,22.73
vit_base,5000,0,0,330,1.0,0,0,0.6316,0.8414,canonicalizer,23.77
